date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
1994-03-15,sh.000001,800.7600,800.9400,766.6000,772.7600,468774500,4254813440.0000,3,0.067439,1,-1.986248,0.000000,0.000000,0.000000,0.000000,0
1994-03-16,sh.000001,767.6600,793.8700,766.6500,793.8700,369946300,4245800960.0000,3,0.053154,1,2.731765,0.000000,0.000000,0.000000,0.000000,0
1994-03-17,sh.000001,805.4100,807.5200,772.0900,776.0400,345537200,3467823104.0000,3,0.049647,1,-2.245962,0.000000,0.000000,0.000000,0.000000,0
1994-03-18,sh.000001,777.0500,781.1800,753.0600,765.2200,256618400,2802938368.0000,3,0.036871,1,-1.394259,0.000000,0.000000,0.000000,0.000000,0
1994-03-21,sh.000001,755.8600,757.5500,731.0500,731.6200,167903600,1783115776.0000,3,0.024045,1,-4.390891,0.000000,0.000000,0.000000,0.000000,0
1994-03-22,sh.000001,726.1600,739.3200,724.3800,739.3100,130998800,1344599424.0000,3,0.018760,1,1.051092,0.000000,0.000000,0.000000,0.000000,0
1994-03-23,sh.000001,739.3800,740.3800,723.8900,725.2100,198650700,1787238528.0000,3,0.028442,1,-1.907180,0.000000,0.000000,0.000000,0.000000,0
1994-03-24,sh.000001,725.2000,735.4900,719.8200,724.3000,282521600,3657028096.0000,3,0.040095,1,-0.125486,0.000000,0.000000,0.000000,0.000000,0
1994-03-25,sh.000001,732.6100,737.1600,714.5900,719.0500,231490400,2703841280.0000,3,0.032852,1,-0.724838,0.000000,0.000000,0.000000,0.000000,0
1994-03-28,sh.000001,702.4200,709.1900,696.5200,702.2300,198621700,1924085888.0000,3,0.028188,1,-2.339199,0.000000,0.000000,0.000000,0.000000,0
1994-03-29,sh.000001,706.3700,711.4800,700.5200,706.9100,220198000,2217041152.0000,3,0.031250,1,0.666447,0.000000,0.000000,0.000000,0.000000,0
1994-03-30,sh.000001,710.3500,714.1000,703.9900,706.3400,202356800,1814448256.0000,3,0.028516,1,-0.080625,0.000000,0.000000,0.000000,0.000000,0
1994-03-31,sh.000001,709.9100,713.6000,701.4600,704.4600,249675200,2067036544.0000,3,0.035184,1,-0.266161,0.000000,0.000000,0.000000,0.000000,0
1994-04-01,sh.000001,704.9300,705.4100,691.8600,698.8400,165498700,1422501248.0000,3,0.023322,1,-0.797773,0.000000,0.000000,0.000000,0.000000,0
1994-04-04,sh.000001,698.1900,700.2100,692.5100,694.3800,218142000,2313539328.0000,3,0.030206,1,-0.638204,0.000000,0.000000,0.000000,0.000000,0
1994-04-05,sh.000001,695.2000,698.5900,681.0200,682.7500,150353900,1445908608.0000,3,0.020819,1,-1.674876,0.000000,0.000000,0.000000,0.000000,0
1994-04-06,sh.000001,682.2300,683.4800,675.5700,679.7400,109768700,1007611136.0000,3,0.015200,1,-0.440866,0.000000,0.000000,0.000000,0.000000,0
1994-04-07,sh.000001,678.1100,684.5500,674.7200,677.3100,118822000,1037017088.0000,3,0.016425,1,-0.357489,0.000000,0.000000,0.000000,0.000000,0
1994-04-08,sh.000001,678.1300,680.5700,675.2500,678.8500,91426600,801904640.0000,3,0.012638,1,0.227367,0.000000,0.000000,0.000000,0.000000,0
1994-04-11,sh.000001,668.8500,670.2700,657.1000,659.0500,117308600,977913088.0000,3,0.015997,1,-2.916696,0.000000,0.000000,0.000000,0.000000,0
1994-04-12,sh.000001,655.3400,665.8100,652.5600,665.6100,107818400,791319808.0000,3,0.014703,1,0.995372,0.000000,0.000000,0.000000,0.000000,0
1994-04-13,sh.000001,673.6000,674.5000,654.9400,656.7900,154842500,1057717376.0000,3,0.021085,1,-1.325101,0.000000,0.000000,0.000000,0.000000,0
1994-04-14,sh.000001,651.8200,654.5700,634.5800,636.0800,163072000,929730176.0000,3,0.022165,1,-3.153209,0.000000,0.000000,0.000000,0.000000,0
1994-04-15,sh.000001,630.5700,630.8300,592.3100,626.7900,236934400,1347446400.0000,3,0.032205,1,-1.460514,0.000000,0.000000,0.000000,0.000000,0
1994-04-18,sh.000001,619.5100,619.5300,597.7300,604.1500,158792000,1238669824.0000,3,0.021493,1,-3.612048,0.000000,0.000000,0.000000,0.000000,0
1994-04-19,sh.000001,597.7800,600.6600,571.4400,572.7300,171016100,1271598592.0000,3,0.023115,1,-5.200702,0.000000,0.000000,0.000000,0.000000,0
1994-04-20,sh.000001,560.7900,563.2400,536.8700,540.2400,181444900,1281112320.0000,3,0.024524,1,-5.672829,0.000000,0.000000,0.000000,0.000000,0
1994-04-21,sh.000001,536.3400,588.0000,536.3400,582.4300,219199000,1677485952.0000,3,0.029627,1,7.809493,0.000000,0.000000,0.000000,0.000000,0
1994-04-22,sh.000001,586.8300,599.0100,563.7900,566.0700,321305900,2671824384.0000,3,0.043394,1,-2.808919,0.000000,0.000000,0.000000,0.000000,0
1994-04-25,sh.000001,566.6300,572.3900,555.7600,560.8000,193155600,1500084096.0000,3,0.025508,1,-0.930984,0.000000,0.000000,0.000000,0.000000,0
1994-04-26,sh.000001,565.4700,579.9100,565.4700,579.7200,142388800,1188892160.0000,3,0.018804,1,3.373749,0.000000,0.000000,0.000000,0.000000,0
1994-04-27,sh.000001,590.9900,598.5800,583.2900,598.5000,291695600,2595940864.0000,3,0.038522,1,3.239500,0.000000,0.000000,0.000000,0.000000,0
1994-04-28,sh.000001,605.9800,616.0900,593.8100,599.6300,357968600,2676488704.0000,3,0.047274,1,0.188806,0.000000,0.000000,0.000000,0.000000,0
1994-04-29,sh.000001,598.3500,610.9500,585.7700,592.5600,260483500,1740094848.0000,3,0.034085,1,-1.179062,0.000000,0.000000,0.000000,0.000000,0
1994-05-03,sh.000001,593.9400,605.7700,588.9500,605.7700,140076000,942112128.0000,3,0.018153,1,2.229314,0.000000,0.000000,0.000000,0.000000,0
1994-05-04,sh.000001,615.8100,620.9400,610.3800,619.5800,238000300,1902268160.0000,3,0.030843,1,2.279743,0.000000,0.000000,0.000000,0.000000,0
1994-05-05,sh.000001,608.3600,609.8500,585.2300,590.8700,190767900,1532605824.0000,3,0.024700,1,-4.633788,0.000000,0.000000,0.000000,0.000000,0
1994-05-06,sh.000001,589.2300,592.7500,575.2500,585.8000,177620400,1479680128.0000,3,0.022635,1,-0.858058,0.000000,0.000000,0.000000,0.000000,0
1994-05-09,sh.000001,587.9400,588.3800,576.9400,581.7000,174904300,1076955136.0000,3,0.021874,1,-0.699893,0.000000,0.000000,0.000000,0.000000,0
1994-05-10,sh.000001,584.7700,595.4200,584.5400,595.3800,171604000,1253771264.0000,3,0.021438,1,2.351726,0.000000,0.000000,0.000000,0.000000,0
1994-05-11,sh.000001,603.2700,606.7300,589.6400,591.1800,254872000,2022743040.0000,3,0.031841,1,-0.705434,0.000000,0.000000,0.000000,0.000000,0
1994-05-12,sh.000001,586.1500,593.7000,580.3900,582.1600,184433600,1379203328.0000,3,0.023041,1,-1.525765,0.000000,0.000000,0.000000,0.000000,0
1994-05-13,sh.000001,582.5100,590.4000,575.2800,590.3900,146680900,1033986368.0000,3,0.018325,1,1.413708,0.000000,0.000000,0.000000,0.000000,0
1994-05-16,sh.000001,597.1200,597.1200,588.4800,592.5700,265397500,1403832704.0000,3,0.032903,1,0.369246,0.000000,0.000000,0.000000,0.000000,0
1994-05-17,sh.000001,592.2900,594.9800,589.5300,592.0200,163743500,917132992.0000,3,0.020300,1,-0.092814,0.000000,0.000000,0.000000,0.000000,0
1994-05-18,sh.000001,590.3200,591.6100,581.7300,583.3200,194516600,783223360.0000,3,0.024115,1,-1.469547,0.000000,0.000000,0.000000,0.000000,0
1994-05-19,sh.000001,578.8000,590.6300,576.8500,590.5400,123194800,651372160.0000,3,0.015249,1,1.237738,0.000000,0.000000,0.000000,0.000000,0
1994-05-20,sh.000001,592.3800,597.7200,588.3700,594.2200,205730400,1441660800.0000,3,0.025109,1,0.623157,0.000000,0.000000,0.000000,0.000000,0
1994-05-23,sh.000001,594.5200,597.1500,586.3900,587.6500,158567000,865000448.0000,3,0.019151,1,-1.105642,0.000000,0.000000,0.000000,0.000000,0
